"interaction_name","lig_contributor","receptor_subunit","lig_contributor_group","lig_contributor_coeff","receptor_subunit_group","receptor_subunit_coeff","interaction_type","ligand_type","source"
"VIP_VIPR1","VIP","VIPR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"VIP_VIPR2","VIP","VIPR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NPY_NPY1R","NPY","NPY1R","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NPY_NPY2R","NPY","NPY2R","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NPY_NPY5R","NPY","NPY5R","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"SST_SSTR1","SST","SSTR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"SST_SSTR2","SST","SSTR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"SST_SSTR3","SST","SSTR3","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"SST_SSTR4","SST","SSTR4","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PENK_OPRD1","PENK","OPRD1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PENK_OPRM1","PENK","OPRM1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"TAC3_TACR3","TAC3","TACR3","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CCK_CCKBR","CCK","CCKBR","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CRH_CRHR1","CRH","CRHR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CRH_CRHR2","CRH","CRHR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"TAC1_TACR1","TAC1","TACR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PDYN_OPRD1","PDYN","OPRD1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PDYN_OPRK1","PDYN","OPRK1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PDYN_OPRM1","PDYN","OPRM1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CORT_SSTR1","CORT","SSTR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CORT_SSTR2","CORT","SSTR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CORT_SSTR3","CORT","SSTR3","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CORT_SSTR4","CORT","SSTR4","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PTHLH_PTH1R","PTHLH","PTH1R","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PNOC_OPRL1","PNOC","OPRL1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"ADCYAP1_ADCYAP1R1","ADCYAP1","ADCYAP1R1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"ADCYAP1_VIPR1","ADCYAP1","VIPR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"ADCYAP1_VIPR2","ADCYAP1","VIPR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"TRH_TRHR","TRH","TRHR","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"GRP_GRPR","GRP","GRPR","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NMB_NMBR","NMB","NMBR","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NTS_NTSR1","NTS","NTSR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"NTS_NTSR2","NTS","NTSR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"RLN1_RXFP1","RLN1","RXFP1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"RLN1_RXFP2","RLN1","RXFP2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"RLN1_RXFP3","RLN1","RXFP3","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"Glu_GRIN1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2A","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2A","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2B","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2B","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2C","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2C","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2D","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2D","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN3A","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN3A","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN3B","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN3B","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA2","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA3","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA4","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK2","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK3","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK4","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK5","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK5","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM1","GLS;SLC17A6;SLC17A7;SLC17A8","GRM1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM5","GLS;SLC17A6;SLC17A7;SLC17A8","GRM5","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM4","GLS;SLC17A6;SLC17A7;SLC17A8","GRM4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM6","GLS;SLC17A6;SLC17A7;SLC17A8","GRM6","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM7","GLS;SLC17A6;SLC17A7;SLC17A8","GRM7","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM8","GLS;SLC17A6;SLC17A7;SLC17A8","GRM8","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM2","GLS;SLC17A6;SLC17A7;SLC17A8","GRM2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM3","GLS;SLC17A6;SLC17A7;SLC17A8","GRM3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"NRXN1_NLGN1","NRXN1","NLGN1","1","1","1","1","ligand-receptor","Synaptic adhesion molecule","NeuronChat"
"NRXN2_NLGN2","NRXN2","NLGN2","1","1","1","1","ligand-receptor","Synaptic adhesion molecule","NeuronChat"
"NRXN3_NLGN3","NRXN3","NLGN3","1","1","1","1","ligand-receptor","Synaptic adhesion molecule","NeuronChat"
"GABA_GABRA1","GAD1;GAD2;SLC32A1","GABRA1","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA2","GAD1;GAD2;SLC32A1","GABRA2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA3","GAD1;GAD2;SLC32A1","GABRA3","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA4","GAD1;GAD2;SLC32A1","GABRA4","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA5","GAD1;GAD2;SLC32A1","GABRA5","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA6","GAD1;GAD2;SLC32A1","GABRA6","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB1","GAD1;GAD2;SLC32A1","GABRB1","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB2","GAD1;GAD2;SLC32A1","GABRB2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB3","GAD1;GAD2;SLC32A1","GABRB3","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
