"interaction_name","lig_contributor","receptor_subunit","lig_contributor_group","lig_contributor_coeff","receptor_subunit_group","receptor_subunit_coeff","interaction_type","ligand_type","source"
"VIP_VIPR2","VIP","VIPR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PENK_OPRM1","PENK","OPRM1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"TAC3_TACR3","TAC3","TACR3","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"CRH_CRHR2","CRH","CRHR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"TAC1_TACR1","TAC1","TACR1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PDYN_OPRM1","PDYN","OPRM1","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"PTHLH_PTH1R","PTHLH","PTH1R","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"ADCYAP1_VIPR2","ADCYAP1","VIPR2","1","1","1","1","ligand-receptor","Neuropeptide","NeuronChat"
"Glu_GRIN1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2A","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2A","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2B","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2B","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN2C","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN2C","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIN3A","GLS;SLC17A6;SLC17A7;SLC17A8","GRIN3A","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA2","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA3","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIA4","GLS;SLC17A6;SLC17A7;SLC17A8","GRIA4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK1","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK2","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK3","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK4","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRIK5","GLS;SLC17A6;SLC17A7;SLC17A8","GRIK5","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM1","GLS;SLC17A6;SLC17A7;SLC17A8","GRM1","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM5","GLS;SLC17A6;SLC17A7;SLC17A8","GRM5","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM4","GLS;SLC17A6;SLC17A7;SLC17A8","GRM4","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM7","GLS;SLC17A6;SLC17A7;SLC17A8","GRM7","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM8","GLS;SLC17A6;SLC17A7;SLC17A8","GRM8","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM2","GLS;SLC17A6;SLC17A7;SLC17A8","GRM2","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Glu_GRM3","GLS;SLC17A6;SLC17A7;SLC17A8","GRM3","1;2;2;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"NRXN1_NLGN1","NRXN1","NLGN1","1","1","1","1","ligand-receptor","Synaptic adhesion molecule","NeuronChat"
"GABA_GABRA1","GAD1;GAD2;SLC32A1","GABRA1","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA2","GAD1;GAD2;SLC32A1","GABRA2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA3","GAD1;GAD2;SLC32A1","GABRA3","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA4","GAD1;GAD2;SLC32A1","GABRA4","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA5","GAD1;GAD2;SLC32A1","GABRA5","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRA6","GAD1;GAD2;SLC32A1","GABRA6","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB1","GAD1;GAD2;SLC32A1","GABRB1","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB2","GAD1;GAD2;SLC32A1","GABRB2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRB3","GAD1;GAD2;SLC32A1","GABRB3","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRG1","GAD1;GAD2;SLC32A1","GABRG1","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRG2","GAD1;GAD2;SLC32A1","GABRG2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABRG3","GAD1;GAD2;SLC32A1","GABRG3","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GABA_GABBR2","GAD1;GAD2;SLC32A1","GABBR2","1;1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"GJA3_GJA3","GJA3","GJA3","1","1","1","1","ligand-receptor","Gap junction protein","NeuronChat"
"GJA4_GJA4","GJA4","GJA4","1","1","1","1","ligand-receptor","Gap junction protein","NeuronChat"
"GJB2_GJB2","GJB2","GJB2","1","1","1","1","ligand-receptor","Gap junction protein","NeuronChat"
"GJB6_GJB6","GJB6","GJB6","1","1","1","1","ligand-receptor","Gap junction protein","NeuronChat"
"GJC1_GJC1","GJC1","GJC1","1","1","1","1","ligand-receptor","Gap junction protein","NeuronChat"
"Ach_CHRNA1","CHAT;SLC18A3","CHRNA1","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRNA6","CHAT;SLC18A3","CHRNA6","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRNB1","CHAT;SLC18A3","CHRNB1","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRNB3","CHAT;SLC18A3","CHRNB3","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRND","CHAT;SLC18A3","CHRND","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRNE","CHAT;SLC18A3","CHRNE","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRNG","CHAT;SLC18A3","CHRNG","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRM2","CHAT;SLC18A3","CHRM2","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
"Ach_CHRM3","CHAT;SLC18A3","CHRM3","1;2","1;1","1","1","ligand-receptor","Neurotransmitter","NeuronChat"
